List of satisfied order: 128 in total
OrderId      PCid     Quantity     Due Date    Profit  TotalProfit    Day 0    Day 1    Day 2    Day 3    Day 4
  187          8          8           2          1064      8512         0        0        0        0       32
  146          6          8           1          1056      8448         0        0        0        0       48
  189          0         10           1           844      8440         0        0        0        0       40
  195         13          5           2          1677      8385         0        0        0        0       30
  160         14          7           2          1192      8344         0        0        0        0       42
   29          8         15           2           551      8265         0        0        0        0       60
  125          9          7           1          1142      7994         0        0        0        0       35
   36          6          8           3           980      7840         0        0        0        0       48
  191          7         10           2           749      7490         0        0        0        0       70
  149          6         12           2           609      7308         0        0        0        0       72
  202         12         12           2           609      7308         0        0        0        0       60
   13          2          9           3           779      7011         0        0        0        0       45
   18          5          7           3           978      6846         0        0        0        0       42
  198          0         13           1           510      6630         0        0        0        0       52
  210         12          8           3           823      6584         0        0        0        0       40
  143         10         12           1           545      6540         0        0        0        0       60
  200          2          8           3           816      6528         0        0        0        0       40
  112          0         11           3           583      6413         0        0        0        0       44
  194          0          9           1           707      6363         0        0        0        0       36
  136         15          7           1           871      6097         0        0        0        0       49
  148         15          4           2          1524      6096         0        0        0        0       28
  179          8          8           3           758      6064         0        0        0        0       32
  196          5          7           3           859      6013         0        0        0        0       42
   24          2          7           0           836      5852         0        0        0        0       35
   76          8         14           0           418      5852         0        0        0        0       56
  145          3         10           3           580      5800         0        0        0        0       60
   61          6          4           0          1436      5744         0        0        0        0       24
  127          1          5           2          1131      5655         0        0        0        0       25
   30         14          7           3           795      5565         0        0        0        0       42
   90          2          7           0           776      5432         0        0        0        0       35
  162          5          5           1          1068      5340         0        0        0        0       30
   99         14          9           2           591      5319         0        0        0        0       54
    3          4          5           3          1048      5240         0        0        0        0       25
   43         12          4           3          1292      5168         0        0        0        0       20
  168          2          9           3           566      5094         0        0        0        0       45
   41          7          3           0          1639      4917         0        0        0        0       21
   51          2          9           0           544      4896         0        0        0        0       45
   35         10          4           2          1199      4796         0        0        0        0       20
   80          0          5           1           941      4705         0        0        0        0       20
   32         15          6           3           781      4686         0        0        0        0       42
   74          0          8           2           545      4360         0        0        0        0       32
   14         12          3           3          1453      4359         0        0        0        0       15
   38          0          8           1           542      4336         0        0        0        0       32
  106          4          4           1          1083      4332         0        0        0        0       20
  109         15          7           1           602      4214         0        0        0        0       49
   16          7          7           0           599      4193         0        0        0        0       49
  211          6          4           3          1044      4176         0        0        0        0       24
   22          5          6           3           631      3786         0        0        0        0       36
   75          2          6           2           597      3582         0        0        0        0       30
  103         10          5           2           641      3205         0        0        0        0       25
   91          2          6           3           526      3156         0        0        0        0       30
  115          3          3           2          1041      3123         0        0        0        0       18
   11          2          3           3          1012      3036         0        0        0        0       15
   26          5          2           2          1506      3012         0        0        0        0       12
  110          2          6           1           496      2976         0        0        0        0       30
  126          0          3           2           950      2850         0        0        0        0       12
   37          9          4           1           704      2816         0        0        0        0       20
  155          4          2           1          1200      2400         0        0        0        0       10
   68          2          2           2          1161      2322         0        0        0        0       10
  104          9          2           3          1151      2302         0        0        0        0       10
  130          6          1           3          1266      1266         0        0        0        0        6

List of cancelled order: 17 in total
OrderId      PCid     Quantity     Due Date    Profit  TotalProfit    Day 0    Day 1    Day 2    Day 3    Day 4
  170          2          6           2          1159      6954         0        0        0        0        0
  137         15          7           3           815      5705         0        0        0        0        0
   34         10          6           2           750      4500         0        0        0        0        0
  212         15          3           1          1066      3198         0        0        0        0        0
   89          8          3           2           855      2565         0        0        0        0        0
  186         15          2           3           974      1948         0        0        0        0        0
  131         11          3           1           585      1755         0        0        0        0        0
  184          6          2           2           850      1700         0        0        0        0        0
  101          9          2           2           742      1484         0        0        0        0        0
   39         11          2           2           730      1460         0        0        0        0        0
    6         10          3           3           485      1455         0        0        0        0        0
  183          6          2           3           567      1134         0        0        0        0        0
   60         11          1           0          1111      1111         0        0        0        0        0
  188          0          1           1          1074      1074         0        0        0        0        0
   70          3          1           3           961       961         0        0        0        0        0
  163          6          1           3           818       818         0        0        0        0        0
   20         11          1           0           691       691         0        0        0        0        0

List of total components: 788 in total
ComponentId   ComponentName        Amount    
     0        Pintel CPU 3 GHz     58
     1        Pintel CPU 5 GHz     59
     2        IMD CPU 3 GHz        34
     3        IMD CPU 5 GHz        46
     4        Pintel motherboard   117
     5        IMD motherboard      80
     6        Memory 4 GB          94
     7        Memory 8 GB          103
     8        Hard disk 1 TB       96
     9        Hard disk 2 TB       101

List of total components per day: 788 in total
Day 0  Day 1  Day 2  Day 3  Day 4  
152    152    168    152    164    

List of cycles per day: 9895 in total
Day 0  Day 1  Day 2  Day 3  Day 4  
1982   1977   1972   1968   1996   

Total penalty: 339385

Total profit: 1898919

Total cost: 5642050
